127.0.0.1, 2018-11-04 09:19:12, GET, /admin/default/peek/examples/views/default/examples.html, HTTP/1.1, 200, 0.224900
127.0.0.1, 2018-11-04 09:19:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/default/edit/examples/views/default/examples.html, HTTP/1.1, 200, 0.083946
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.024985
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.009993
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.008990
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.015993
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.010997
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000999
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.003001
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002002
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.009995
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.008996
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.014990
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.015990
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000999
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.003998
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001999
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.004998
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001998
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001998
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.005996

127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/js/ajax_editor.js, HTTP/1.1, 200, 0.003999
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/js/typeahead.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/images/files_toggle.png, HTTP/1.1, 200, 0.001998
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/static/_2.17.2/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000995
127.0.0.1, 2018-11-04 09:19:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/default/edit/examples/views/default/examples.html, HTTP/1.1, 200, 0.114928
127.0.0.1, 2018-11-04 09:19:15, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.166896
127.0.0.1, 2018-11-04 09:19:16, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.213863
127.0.0.1, 2018-11-04 09:19:16, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.280826
127.0.0.1, 2018-11-04 09:19:16, GET, /examples/appadmin/hooks, HTTP/1.1, 200, 0.279827
127.0.0.1, 2018-11-04 09:19:16, GET, /admin/static/_2.17.2/images/save_icon.png, HTTP/1.1, 200, 0.001998
127.0.0.1, 2018-11-04 09:19:16, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.518692
